ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Pins,3DModel,Contributor,JLCPCB Part Class,LCSC Assembly,SMT Type,image,link,subpart_no
1,316kΩ,R2,R0805,1,0805W8F3163T5E,UNI-ROYAL(厚声),LCSC,C407398,0.002,2,R0805_L2.0-W1.3-H0.6,LCSC,Extended Part,,,,https://item.szlcsc.com/142685.html,
2,IDC Box 2.54mm 2X5P,P1,EURO_PWR_HEADER_LOCK,1,IDC Box 2.54mm 2X5P,BOOMELE,LCSC,C5665,0.071,10,,rossgrady,,,,//image.lceda.cn/szlcsc/C5665.jpg,,
3,HDR-M-2.54_1x2,CAL,HDR-M-2.54_1X2,1,,,LCSC,C124375,0.022,2,HDR-M-2.54_1x2,LCEDA_Lib,,,,,,
4,2k,VR2,PV36W-MULTITURN-TRIMMER,1,PV36W102C01B00,Bourns,Mouser,81-PV36W102C01B00,,3,,Sikander,,,,,,
5,HDR-M-2.54_1x1,"GND, 5.3V",HDR-M-2.54_1X1,2,,,LCSC,C81276,0.007,1,HDR-M-2.54_1x1,LCEDA_Lib,,,,,,
6,ADAFRUIT QTPY RP2040,MC1,ADAFRUIT QT PY,1,,,,,,14,,paul_1809,,,,,http://wiki.seeedstudio.com/Seeeduino-XIAO/,
7,BSS138-7-F,"Q1, Q2",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,2,BSS138-7-F,DIODES(美台),LCSC,C40912,0.019,3,SOT-23-3L_L2.9-W1.6-H1.1-LS2.8-P0.95,lcsc,Extended Part,,,,https://item.szlcsc.com/14454.html,
8,10k,"R1, R4, R5, R6",R0805,4,0805W8F1002T5E,UNI-ROYAL(厚声),LCSC,C17414,0.001,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,https://item.szlcsc.com/142685.html,
9,100pF,C5,C0805,1,CL21C101JBANNNC,SAMSUNG(三星),LCSC,C1790,0.01,2,C0805_L2.0-W1.3-H1.3,lcsc,Basic Part,,,,https://lcsc.com/eda_search?q=C1790&%26type=1&ref=editor,
10,10uF,"C6, C15, C16, C17",C0805,4,CL21A106KAYNNNE,SAMSUNG(三星),LCSC,C15850,0.011,2,C0805_L2.0-W1.3-H1.3,lcsc,Basic Part,,,,https://lcsc.com/eda_search?q=C15850&%26type=1&ref=editor,
11,1N5819WS,"D1, D2",SOD-323_L1.8-W1.3-LS2.5-RD,2,1N5819WS,Hottech(合科泰),LCSC,C191023,0.012,2,SOD-323_L1.7-W1.3-H1.1-LS2.5,LCSC,Basic Part,,,,https://lcsc.com/eda_search?q=C191023&%26type=1&ref=editor,
12,600Ω,L1,L0805,1,GZ2012D601TF,Sunlord(顺络),LCSC,C1017,0.008,2,L0805_L2.0-W1.6-H0.9,lcsc,Basic Part,,,,https://lcsc.com/eda_search?q=C1017&%26type=1&ref=editor,
13,MCP23017-E/SO,U4,SOIC-28_L18.0-W7.5-P1.27-LS10.3-BL,1,MCP23017-E/SO,MICROCHIP(美国微芯),LCSC,C47023,1.756,28,SOIC-28_L17.9-W7.5-H2.7-LS10.3-P1.27,LCSC,Extended Part,,,,https://lcsc.com/eda_search?q=C47023&%26type=1&ref=editor,
14,1uF,C2,C0805,1,CL21B105KBFNNNE,SAMSUNG(三星),LCSC,C28323,0.009,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,,https://item.szlcsc.com/373011.html,
15,10nF,C4,C0805,1,CL21B103KBANNNC,SAMSUNG(三星),LCSC,C1710,0.006,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,,https://item.szlcsc.com/373011.html,
16,0.1uF,"C1, C3, C12, C13",C0805,4,CC0805KRX7R9BB104,YAGEO(国巨),LCSC,C49678,0.005,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,,https://item.szlcsc.com/373011.html,
17,X4611WV-05I-C28D40,"H1, H3, H4, H5",HDR-TH_5P-P2.00-V-M,4,X4611WV-05I-C28D40,XKB Connectivity,LCSC,C706994,0.064,5,HDR-TH_5P-P2.00-M-LI-1X5P,LCSC,,,,,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,
18,X4611WV-04I-C28D40,H2,HDR-TH_4P-P2.00-V-M,1,X4611WV-04I-C28D40,XKB Connectivity,LCSC,C706995,0.065,4,HDR-TH_4P-P2.00-M-LI-1X4P,LCSC,,,,,https://item.szlcsc.com/562479.html,
19,120R,R17,R0805,1,0805W8F1200T5E,UNI-ROYAL(厚声),LCSC,C17437,0.002,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,https://item.szlcsc.com/142685.html,
20,ADS1115IDGSR,U1,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,1,ADS1115IDGSR,TI(德州仪器),LCSC,C37593,2.046,10,MSOP-10_L3.0-W3.0-H1.1-LS5.0-P0.50,lcsc,Extended Part,,,,https://lcsc.com/eda_search?q=C37593&%26type=1&ref=editor,
21,LD1117SC-R,U9,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,LD1117SC-R,ST(意法半导体),LCSC,C970562,0.56,4,SOT-223-4P_L6.5-W3.5-H1.6-LS7.0-P2.30,LCSC,Extended Part,,,,https://item.szlcsc.com/410724.html,
22,100k,R3,R0805,1,0805W8F1003T5E,UNI-ROYAL(厚声),LCSC,C149504,0.002,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,https://item.szlcsc.com/142685.html,
23,OPA2376AID,U6,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,OPA2376AIDR,TI(德州仪器),LCSC,C46316,1.516,8,SOIC-8_L4.9-W3.9-H1.7-LS6.0-P1.27,lcsc,Extended Part,Yes,Extend,http://image.lceda.cn/szlcsc/C46316.jpg,https://so.szlcsc.com/global.html?c=&k=C9843,1
24,MCP4725A0T-E/CH,U2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,MCP4725A0T-E/CH,MICROCHIP(美国微芯),LCSC,C144198,0.971,6,SOT-23-6_L2.9-W1.6-H1.5-LS2.8-P0.95,LCSC,Extended Part,,,,https://item.szlcsc.com/169042.html,
25,LP2951ACDR2G,U7,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,LP2951ACDR2G,onsemi(安森美),LCSC,C232432,0.568,8,SOIC-8_L4.9-W3.9-H1.7-LS6.0-P1.27,LCSC,Extended Part,,,,https://item.szlcsc.com/417287.html,
26,402R,R18,R0805,1,0805W8F4020T5E,UNI-ROYAL(厚声),LCSC,C17681,0.002,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,https://item.szlcsc.com/142685.html,
